单词,中文翻译,记忆方法
flirt with sth. ,不认真对待,联想：随便往天空上丢一丢就完事
dearth,缺乏,the ~ of 缺乏，<联想 death，都死光了很缺乏，来自 dear，物以稀为贵>；越缺dear越说
paucity,缺乏，稀缺,来自 pauper -> poverty -> 乞丐，乞丐很 poor
scarcity,缺乏，缺少（scarce，scant，scanty）,来自于 scar 刀疤，缺少一块肉
deficiency,缺乏,反义：sufficient 充足的
plethora,过剩，大量,同源 plenty，ple->plenty
glut,大量,联想 glutton
scad,大量,
debris,碎片，残骸,de-to，br表示分开，break，space debris 太空垃圾
decipher,破译，解码，解密,de表示off，相当于 decode
cipher,密码,有 cipher 更 safer
encode,编码,
deduct,扣除,duct/duce=to lead（通过：introduce，conduct 记忆），往下 de-down 引导 -> 减去
deductible,可扣除的,
abduct,诱拐，绑架,ab-away，引导离开，带到很远的地方，～ women and children
duct,导管 ,tear duct 泪腺，aqueduct 水管，viaduct 高架桥，oviduct 输卵管
ductile,有延展性的,-ile结尾表示易于……；容易被引导的
adduce,举例，印证；引用……证明,ad-to，duce用例子引导-引证；联想，加到uc+浏览器书签中以便笔记引用
seduce,勾引，色诱,se=separate，把某人带进来，～sb into doing something
induce,劝诱,用言语诱惑，劝一个人进去，“来到我们公司”，~ sb to do
traduce,诽谤，诋毁 = calumniate,tra=trans，将一个人带到一边去诋毁，“跟我出来一下”
conduce,有益于（to）,同 contribute to 有助于
default,默认值，疏忽职责，拖欠债务,de-to+fault，错误：不还钱，不履行责任，fall/fals=mistake
fallible,容易犯错的，易出错的,
infallibility,一贯正确,
fallacy,谬论,ny，cy，ty都是名词
falsify,篡改，伪造,fals=false，使之错误，故意改错，ify动词后缀
falsehood,1错误；2虚假，不诚实，欺骗,hood是名词后缀，没啥意义；
deify,神化，奉为神明,dei=god，神
deity,神，神性,
hallow,奉为神圣,"holy 神圣的, Halloween 万圣节"
lionize,崇拜，看重,狮子万兽之王受到崇拜
revere,敬畏，崇敬,reverence，re-again+vere=fear，害怕；联想 severe，敬畏一个严厉的老师
venerate,崇拜，尊敬,veneration
esteem,尊敬,反义：stigma 耻辱；ee眼睛，st站着，站在那里看着他充满着无限尊敬
fetish,神物，癖（疯狂的崇拜）,feet，恋脚情节
fetid,恶臭的,fet-feet + id 脚恶臭
deleterious,有害的,delete删除“删除有害的”
indelible,难以磨灭的，难以忘记的,in-not+del-delete+ible，不能被删除的
detrimental,有害的,de-not+trim，不整洁的--有害的
delineate,描绘,de-to+line+ate，用线条描绘
depict,描绘,pict=picture，“用图片描绘”
recount,叙述，讲述（=relate）,
delinquency,行为不良，罪（一般指青少年的犯罪）,de-negative+linqu-link+ency 与消极事物有联系 - 犯罪，juvenile delinquency 青少年犯罪
juvenile,青少年的,同源 junior
rejuvenate,返老还童,re再一次年轻
delirium,1精神狂乱；2狂喜,de-neg+lir-lure- 不好的诱惑-导致疯狂
delirious,精神狂乱的,de-neg+lir-lure- 不好的诱惑-导致疯狂
demented,疯狂的，精神错乱的（由于痛苦经历而导致的）,de-neg+ment-mental，精神出错
deranged,疯狂,顺序出错——疯狂，range顺序
frenzy,疯狂，极度兴奋,freak 疯子，怪胎
deluge,洪水，豪雨，泛滥，淹没,de表示向下，lu流下来；词根 lu-/lau=wash，如laundry洗衣房
dilute,稀释，冲淡,di表示分开，分开冲-冲淡
dilate,膨胀，扩大,联想dilute稀释后就膨胀了
lavish,浪费（的）,花钱如流水的
lave,沐浴,
lavatory,厕所，盥洗室,ory如果是名词，表示地点，场所
demarcate,划分界限,de-to+mark+ate，去mark一下
immaculate,无瑕的=spotless,spot点；im-not 没有，mac-mark 记号=无瑕的
maculated,有瑕疵的,
demur,提出异议，反对，抗议,de-not+mourn默哀 —— 不再沉默 —— 抗议
demure,端庄的，严肃的,de-to，mure-mature，成熟的女人很端庄
decry,1抗议反对；2严厉谴责,de-to+cry 喊，大喊——反对抗议
descry,看到，远远看见,来自describe（描述）之前的动作，描述之前得先看到
deprecate,1抗议，反对；2谴责,联想 depreciate，抗议贬值
depreciate,贬值,preci-=price，appreciate 增值
denunciation,谴责（公开的）,denounce 谴责，de-neg 词根 nounce-claim，宣布不好的事情
enunciate,1阐明（illuminate）elaborate on；2发音表达清楚（articulate）,
pronounced,显著的，突出的,
deport,举止，驱逐,de-off 离开，port 港口（通过import/export等记住），离开港口，驱逐
deportation,放逐，驱逐出境,
deportment,风度，举止,port 表示 carry
portable,便携的，可携带的,能够运输
potable,可饮用的,pot（锅/壶），可以装在壶里的
disport,玩耍，嬉戏,所有的体育比赛sport都是从玩开始的
 destitutaion,穷困，缺乏，贫穷,stitute/sist=stand
destitute,赤贫的,de-down + stitute 站在最底层的人 —— 穷人
prostitute,妓女,站在前面的一排人
prostitution,卖淫,
restitute,偿还，归还,(return)，re-back 站回来
superstition,迷信,超越一切站在真理上面的东西 —— 迷信
subsist,靠……为活（吃），以……为生,～ on fish = live on fish
desist,停止，终止,～ from，de-to + sist——站着不动——停止
impoverish,使贫穷,im-to+pover-poverty+ish，加强贫穷
penury,贫穷，贫困,联想penny，一便士，一分钱
aggravate,恶化，加重,grav=重，ag加强，ate后缀，加强变重；a双写表加强，加+重（gravity）
ameliorate,改善，提高,（=improve），a-not，mel=male，表示坏，没有变化 —— 变好；联想，爱买伊利提升钙
deter,阻碍，吓退(=curb),～ sb from doing sth，<de-to+ter-terror>，吓唬住——震撼，阻碍
deterrent,阻碍物,deter派生
detonation,爆炸,ton-thunder，像一声炸雷——爆炸；ton-吨
dexterous,灵巧的，惯用右手的,dextr -> 右
dexterity,灵巧，敏捷,
diatribe,抨击，谴责，谩骂,dia=across/between，tribe 部落，tri 表示三->三国之间 —— 抨击
eulogy,颂词，悼词,diatribe 反义词
accolade,赞扬,col-collar，奖牌挂在领子上
acclaim,称赞，喝彩,ac-to+claim-to call 不断叫好 —— 喝彩
exalt,赞颂，歌颂,ex-to+alt-high alter n. 神坛 altitude n.高度，将一个人捧高
extol,赞美,ex-to，tol-tall 抬高一个人 —— 赞美
laud,赞美,联想loud大声赞扬或者Lord
eulogize,颂扬,eu表示美好的东西
commend,公开赞扬,联想 comment，recommend 推荐
compliment,赞扬,～ sb. on sth.；我（i）赞扬，e补充
complement ,补充,我（i）赞扬，e补充
didactic,教诲的，说教的,联想：did+act 指导人去行动的 -> 说教的，doct-teach(doctor)，di-apart，分开教导-说教
doctrine,教条（=dogma n. 教条）,
docile,顺从的，听话的,ild-易于……容易教的
dilapidated,要坍塌似的，荒废的，年久失修的,di-表示分开，ate表示动词后缀，lapid=stone，石头分开了，砖头瓦块的脱落
restored,修复的，已经修复完成的,
lapidary,宝石工，加工宝石的人,lapid=stone
derelict,弃置的，破旧的；玩忽职守,de-to+relic-relinquish，加强放弃-弃置
decrepit,衰老的，破旧的,de-not+cre-create——人不再能创造——衰老
dilettante,业余艺术爱好者，业余艺术爱好的,来自 delight，联想 “带了忐忑” 的是业余爱好者
amateur,业余爱好者,
disciple,信徒，弟子，门徒,形近词：discipline，徒弟要守纪律；谐音 disci -> 弟子
apprentice,学徒，门徒,ap加强，不断去实践 practice 是徒弟
discompose,不安,pose=to put摆放（通过propose记忆）
compose,创作，组成，镇定,
composure,镇定,
decompose,腐烂，分解,de-否定
repose,休息，安睡,
juxtapose,并排放置,juxt=join(junction)，连接，连在一起放
depose,罢免,往下放 -> 下放，及物动词
transpose,改变位置，改变顺序,
superimpose,叠加,impose 强加于
disillusion,醒悟，幻灭，对……大失所望,lus/lud=play
illusion,幻觉,ill的人产生幻觉
delusion,幻觉,lus=play，参考 disillusion
prelude,前奏,在前面play
coda,尾声,
postlude,尾声,
interlude,间奏,
collude,勾结，密谋,一起演戏=勾结=connive
allude,偷偷提及，暗指（to）,<加强al-to+lude一直在表演，不直接讲>
elude,躲避，规避,e-out去外边玩，回避
eclusive,躲避的，晦涩难懂的=recondite,～ meaning
delude,欺骗（deceive）,de-加强，加强演戏，“你就在那演吧”
disposed,有……倾向的,be ~ to do sth=be willing/ready/apt to do
dispose,处理,
disposition,1性格，性情；2陈列,pose是摆放，dis分开放
indisposition,小病,in-否定，性情不好-不舒服-小病
predisposition,倾向（强调喜爱）,same as proclivity；
orientation,倾向，适应,ori=begin 如 origin；sexual ~性取向，political ~ 政治倾向，religious ～ 宗教取向；be orientated to 适应=adapt to
disseminate,散步，散开，传播,dis-apart，ate-后缀，semin-seed，四处撒种子-散布
semen,精液，精子,词中有一个men，色男人
inseminate,使受精,加强结构：in加强+词根+ate；artificial insemination 人工受精
seminar,研讨会,传播知识的地方
distraught,不安的，发狂的，心神狂乱的,动词：distract
distract,无法集中，分心,dis-apart，tract-=draw 拉，通过attract（吸引）记住
contract,收缩，合同,
extract,提取，拔出，摘录,
subtract,减去，减法,
retract,收回，取消,re-back，拉回来
detract,贬低，贬损,de-down，拉下来；当de-与sub-与相同词根构词的时候，de-表消极
protract,延长,向前拉伸
intractable,难以管束的，难以驾驭的,拉不住的
divestiture,剥夺，脱衣,
divest,剥夺，脱衣服,脱掉黄马褂，使衣服离开自己 ～ sb of sth
vest,马甲，赋予,
travesty,拙劣地模仿,东施效颦，tra-trans+vest=穿别人的背心模仿
transvestite,异装癖者,
invest,投资，赋予,
don,穿,on
doff,脱下,off
strip,剥夺，脱衣服,stripper 脱衣舞演员，strip sb of sth
deprive,剥夺,de-=off，prive=privat，不再使之私人拥有
doodle,涂鸦,doodle is a doddle
doddle,轻而易举的事情,something is a doddle，same as easy
dawdle,闲荡，慢吞吞地做事,dawdle over sth，不及物，慢吞吞地做某事；daw=down，做事消极的感觉
dwindle,逐渐减弱减少,自信心逐渐减少，“dw“ 字母组合取自 down，风wind逐渐下来了
dwarf,侏儒，矮子,
dwell,定居,~ in beijing，定居在北京；= live in；city dweller；dwell on 表示阐明，解释说明
2022-07-21 学习,,
dormant,睡眠状态，静止的，休眠,与dormitory（宿舍）同源，dorm=sleep；～ volcano 休眠火山，active volcano 活火山，extinct valcano 死火山
hibernate,冬眠,n. hibernation；<hi + ber-bear+ate>，联想：熊在高山上冬眠
slumber,睡觉,完全等同于 sleep；睡着sleep的熊bear
dote,溺爱,~=pamper；逗他，a doting mother 溺爱孩子的母亲
indulge,溺爱，放纵，沉溺于，纵容，迁就，肆意从事,在心里in爱得像dull傻子一样
indulgent,纵欲的，放纵的，溺爱的,in-not+dul-dull（乏味）+ent，不再乏味的生活，放纵
cosset,宠爱，溺爱,cos-=con-，set=sit，把你包围在中间坐
coddle,溺爱，娇惯,亦可mollycoddle，cut掉ddl截止日期无限满足
douse,用水熄灭，弄湿,反：ignite 点燃，谐音:抖水
souse,浸透,联想：sauce（酱油里/腌制），泡在酱油里
sauce,酱油，腌制,
drab,土褐色的，单调的,记：dry+b，干巴巴无趣；螃蟹（crab）是土褐色的，单调
monotonous,单调的,<mono-single（monologue独白） + tone（音调） + ous>
dreary,乏味的,dry+ary（形近词：dream乏味的梦）
tedious,冗长乏味的,词根ted=tend，表示张开（extend），拉得很长
humdrum,单调的,联想：hum-human+drum，只有一个人在打鼓 —— 单调
drawl,懒洋洋地说，慢吞吞地说,draw——拉长说，慢说
brawl,争吵，打架,br-分歧，争吵源自于分歧
sprawl,蔓延，蔓生，张开四肢的平躺,sp- 表示发散
scrawl,乱画，涂鸦,scr-表示手上的动作，用手scr制造原生态raw的画
drudge,做苦工的人/做苦工,来自drive，开车很辛苦；谐音：抓举——辛苦
toil,苦干,toilet扫厕所很辛苦，～ to do
fag,吃力地工作，苦工,来自fact中的fac-fag
smudge,弄脏,记：smoke
grudge,怨恨，不满，吝啬，妒忌，勉强给，不情愿做,～ doing，<gru--表示心情不爽>，联想:怪你gru给狗dg吃太多
trudge,跋涉，艰难前行,trud=trans=across，跨越，穿越
ebullience,沸腾，热情洋溢,斗牛比赛中，牛bull出来，e.观众沸腾热情洋溢；源自 boil
exult,兴高采烈，狂喜,记：考试 result 结果出来 exult 兴高采烈；xult=sult，往外e跳leap
exultant,兴高采烈的，热情洋溢的,
exuberant,茁壮成长的，兴高采烈的,源：uber-=fruitful；uber=uper，不断向上长的；
luxuriant,茂盛的,
exhilarate,使高兴，使兴奋，使喜悦,
hilarious,高兴的，令人捧腹的,hilar=glad，见到希拉里（Hillary）很高兴
elicit,套话，诱出，引起,e表示向外，lic=lure 表示引诱（delicious）；elicit a secret from sb
licit,合法的=legal,联想license
illicit,不合法的,
license,执照,有执照就是合法的
elope,私奔，逃走,e表示往外，lope-=run 跑(leg)
lope,大步慢跑,
interloper,干涉者，闯入者,inter-between 跑到中间的一个人
gallop,马的（飞奔，疾驰，快跑）,
eminent,显赫的，杰出的,e-表示向外，-ent表示形容词后缀，联想：min-mini：小人物突显；min-突出，来自 mountain
eminence,卓越，杰出，显赫,
prominent,显著的,往前突出
preeminent,卓越的,
imminent,即将发生的，迫在眉睫的,im-=not，还没有出现，即将突出，imminent disaster
renowned,卓越的，显赫的,re表示反复，now现在，-ed后缀；现在反复出现的，很有名
emollient,柔软的，润肤剂,e表示加强，moll-=soft，“被磨软”，mill碾磨；谐音：一抹脸的
mollify,使软化，使平静，安慰,让一个人的情绪软下来
demolish,1拆除，拆迁；2摧毁（destory）,de-to+mol-mill=把所有东西都磨碎——摧毁
demolition,拆迁拆除,
devastate,毁坏，摧毁，严重破坏；使……痛苦,de-to+vast-=waste，表示垃圾或废墟，使某地完全变为垃圾
enervate,削弱，虚弱,同义：attenuate；e-off+nerve，除去神经->没有精神
debilitate,虚弱，衰弱,de+ability+ate 表示能力的下降
enfeeble,使虚弱，衰弱,
feeble,虚弱的,联想feel，感觉不（b）到的，feel feeble
ensue,跟着发生，继起,sue-=sequ-follow，en-表示加强；
due,应付的，到期的,due day 预产期；overdue 过期的
sue,上述，起诉（经济方面）,拼音：su诉->上诉，～ sb for sth
cue,暗示,core在心里的，不说出 —— 暗示
hue,色调，色度,拼音：hu湖光山色——色彩，色调
rue,后悔,"~=regret；拼音：ru如->""如果""再有一次机会——后悔"
entomology,昆虫学,tom=cut，如atom原子->不能再分了，“加强切割去研究”，本词：切开研究的东西，insect
anatomy,解剖学,一个（an）原子（atom）是解剖
epitome,摘要，典型,epi-表示在上面，在上面切开，翻开书的第一页——摘要，epigraph
dissect,解剖,dis-apart 切开，sect-=cut
bisect,将……一分为二,sect- = cut
intersect,横切,inter-between，在中间切断
segment,部分,g与c发声通假
scissors,剪刀,cis-/cid- = cut
incise,切入，切开,向里切
excise,切除,向外切
concise,简洁的,一起都给切掉了，切没了，切干净了，言辞表达上的简洁
incision,切口，伤口,源自 incise
suture,缝合,源自 sew 缝，联想树突的作用就是交流缝合两个细胞
incisive,直中主题的，一针见血的,cis- = cut，直切主题的
tailor,裁缝,tail- = to cut
retail,零售,re-再次切开，批发去卖
curtail,（费用上）削减,~ your spending；联想：cut tail
entail,使……必须，需要,通过 detail 详细去记住，细节很必须，必须切掉了，必要；～ doing sth.
environ,包围，环绕,environment
environs,郊区,同义：suburb=outskirts，环抱在周围的
epidemic,流行的，传染的，流行性的,epi- 1on上面；2among；3behind；在人们之间流行的
democracy,民主,demo-: people
prologue,开场白,Pro 普罗米修斯 Prometheus prologue
epilogue,尾声,Epi 埃庇米修斯 Epimetheus epilogue 尾声
endemic,地方性流行性的,en 表示加强
pandemic,大范围流行性的,前缀pan=all，Pan-American（泛美的，全美的）
demography,人口统计学,demo-人，graph-写；同义：population
equilibrium,平衡,联想equal，Libra 天平，天平两边相等
equable,（人）温和的，稳重的,性格平均——不温不火
equitable,（事物）公正的，正当的,
iniquity,不公正，邪恶,in-not，iqu=equ
disinterested,公平的，公正的,dis-apart，兴趣平分 —— 公正
etch,蚀刻,et-eat 表示吃 —— 腐蚀
efface,擦除，抹去,ef-ex-=off+face 除去表面 —— 擦除
deface,损伤表面,脸先摔到地上
facet,1小面；2方面=aspect,et表示小，“小脸”；；et/ette/let结尾，名词后缀，一般跟小有关系
facetious,嬉皮笑脸的，好开玩笑的,joking inappropriately，反义：serious 严肃认真的；ious 充满了什么什么，充满了脸->嬉皮笑脸
facade,建筑物的正面,face+ade 所有的面集合在一起
euphoria,精神欢快，欣快症,eu-表示好，phor=fer，（aphorism）带来美好
bliss,极乐（blithe）,上帝保佑bless你很快乐
glee,高兴,同源glad
mirth,高兴,同源miracle（奇迹）；形近词：birth-m（妈）birth 妈妈生孩子，快乐
gaiety,高兴,来自 gay
ecstasy,狂喜,来自一种迷幻药Ecstasy；ec=ex+sta-stand，站在外面-狂喜
excrete,排泄，分泌,ex-out，cret=to separate；联想：cret-create，向外创造
secrete,藏匿，分泌,se-=apart
discrete,分开的，不连续的,加强分开，反：continuous；t将ee分开一个个去处理
discreet,小心谨慎的，小心翼翼的,小心ee的
discretion,谨慎,
exculpate,开脱,词根 culp- guilt
inculpate,归罪,词根 culp- guilt
culpable,应受谴责的，有罪的,
culprit,罪犯,
exempt,被免除，被免除的,be ~ from sth.，<example 例子 & exempt（例外）-被免除的；词根 - empt 表示拿>
redemption,救赎；赎回,red=re-back，往回拿-赎回；The Shawshank Redemption
redeem,1救赎；2赎回,
pawn,抵押典当,拿到手里去典当
preempt,抢先占有，优先购买,pre-先拿走，先买下
exonerate,证明无罪,oner\on=burden负担，ex-off，解除负担
onerous,繁重的，辛苦的,-ous表示充满，充满了负担的
onus,责任，负担,
explicable,可说明的,和explain同源，plic-=ply-=fold，表示折叠或倍数multiply，complicated
explicate,解释，说明,
implicate,1暗示=（imply）（cue）；2牵连卷入,
implicit,含羞的，隐晦的,
explicit,清楚的，直接的，明显的，明确的,
supplicate,恳求,sup=sub- 一个人向下折，鞠躬 —— 恳求
duplicate,复制,du=double，折两次
replica,复制品,
expostulate,劝诫，忠告,把后果post说出ex来 = counsel 忠告
postulate,假设,
remonstrate,劝说,联想demonstrate，remonstrate 劝你不要 demonstrate
extemporize,即兴创作,ex-out，ize 词尾，词根：tempor=time（temporary），临时做出
extemporaneous,临时的，即兴的,
contemporary,同一时代的，当代的,con同一时间tempor的
impromptu,即兴的，即席的,im表示加强，prompt 立即的/催促，立即做出
extricate,使解脱，救出,【1】联想ex-out+tri-3从三角关系中救出来；【2】从骗局中救出来，tric=trick
intricate,错综复杂的,陷入（in）了三角关系（tri）的-复杂
enmesh,纠缠,mesh：网，使缠入网中（net）
exude,流出，渗出,e-out+xud-sweat=汗慢慢流出
ooze,渗出；（河底的）淤泥,
exodus,大批离开,联想，us我们一起ex向外——离去
influx,涌入,
fallow,休耕地，休耕的,fall 开头，秋天不耕作
callow,无经验的，年轻的，羽翼未丰的,call 开头，喊叫不成熟
hallow,神化崇拜,词源holy
wallow,打滚，挣扎,wall在墙下打滚，volve=turn 旋转
sallow,面色不好,来自 sorrow（悲伤）
ruddy,面色红润的,
fawn,小鹿，奉承，讨好,~ on sb；小动物的特点 -> 奉承
fauna,动物群,
flora,植物群,来自 flower
flatter,谄媚,~ sb，双写词尾表示动作的反复，flat-顺着抚平 —— 谄媚
toady,马屁精，谄媚,～ to，不及物；今天（today）的人们都很谄媚
sycophant,马屁精，谄媚的,syc=suck，suck up to sb，谄媚
feign,假装（某种情感）,feig-fac=make，做作的样子，feign death，装死的
feint,假装，佯攻，佯击，虚幻一招,字母g不发音的时候可以脱落，feign=feint
felon,重罪犯,fel-联想fall，-on表示小，犯错误的小人
felony,重罪,
felonious,恶毒的，重罪的,恶毒的：fiendish，vile，malicious，malevolent
villainous,恶毒的，凶残的,
villain,恶棍,来自 vile 凶残的
heinous,恶毒的，残忍的，凶残的,通过“黑”去记，心黑手狠的黑人
vicious,恶毒的,来自 vice n. 恶毒，～ gossip：恶意的诽谤
fester,脓疮，溃烂,形近词1fetter带脚镣久了伤口崩溃；2联想faster，懒得很快
heal,（使）愈合，治愈,
ulcer,溃疡,里面
ulcerate,溃烂,
putrid,腐臭的 = septic,形近词 purify 洁净 - putrefy 腐烂
fiasco,惨败，大失败,记：fail
triumph,胜利，凯旋,~ over sb/sth
triumphant,凯旋的，胜利的,
fresco,壁画,fres-=fresh，在新鲜的石灰上作画
flag,衰退，衰减,旗在没风的时候是耷拉的，fl表示向下，fl=1向上fly；2向下fold -> bend，弯
flinch,退缩,同cringe畏缩，向下弯了一英寸，表示退缩
flit,轻快地掠过,fl-fly + it-to go
fleeting,短暂的,flit 变体，很快地掠过
fling,抛，猛扔,
flaunt,挥动，夸耀，炫耀,联想fl=fly，飞起来的姑姑爱炫耀；
haunt,闹鬼，萦绕（在某人心头）,hau=嚎叫，嚎叫的姑姑
taunt,嘲笑，奚落,t踢姑姑是嘲笑
daunt,恐吓，使气馁,d=打，打姑姑是威胁
vaunt,吹牛,v：罗马数字5，五个姑姑就是吹牛
jaunt,短途旅游 = trip,j--journey 旅行的姑姑爱旅行
jaunty,愉快的，得意的,旅行很得意，联想 jaunt
staid,一本正经的，稳重的,st站/不动，sta 不动，很稳重的感觉
saunter,闲逛，漫步，慢走,s联想search，寻找姑姑漫步街头
flint,打火石，燧石,源flame+t
skinflint,吝啬鬼，一毛不拔的人,skin a flint 吝啬，从石头上扒一层皮
flip,掷，投，轻率的，无礼的,fl-fly，使飞起来 —— 轻抛；同义词，toss up
flippant,轻率的，无礼的,
flock,1羊群；2鸟群,fl-表示天上飞的，a ～ of
herb,牛群，兽群,herb牛吃草
school/shoal,鱼群,
pride,狮子群，骄傲,傲慢的是狮子群
swarm,蜂群,
gaggle,鹅群,goose，嘎嘎叫的
pack,狼群,
flounder,挣扎，蹒跚，比目鱼,人像比目鱼一样前->挣扎/蹒跚；联想 founder(创业者)都在艰难地前行
founder,沉没，垮掉，惨败,
flout,轻视，藐视，违背,跟flaunt同源；联想：fl-+out飞出去是藐视
tout,招揽生意，极力赞扬,来自tight，反：pan，平底锅/抨击，谴责；联想：t他出去拉客
scout,侦查，星探，童子军,谐音：思考他
snout,鼻子（海豚，猪等凸起的鼻子），口鼻部,sn+元音 = nose
snore,打鼾,
sneeze,打喷嚏,
snoop,探查，刺探,~ into；联想 snoopy 狗的特征
sneer,嗤之以鼻，冷笑,ee中间有两个眼睛，两眼一闭鼻子一哼
foliage,树叶，植物,foli=leaf，联想 fall-落叶
defoliage,使落叶（除去叶子）,
foliate,有叶的，叶状的,
folio,本子，对开本,
foil,锡箔,像叶子一样的小薄片
forestall,预防,fore-before+stall-停止，先停止 —— 预先阻止
install,安装,in-取否定
foresight,远见，预见,
foreshadow,预示,事先心头出现一个阴影
forebear,祖先,bear-生，最先生出来的
forbear,忍受，忍耐,bear-忍受，忍耐
stomach,忍受,熟词辟义，stomach=胃，brook小溪
brook,忍受,熟词辟义，stomach=胃，brook小溪
foreordain,预先注定,ordain 注定，规定；之前已经预定好的
forfeit,（指由于违约）没收物，丧失的东西，没收，丧失,for-=far，使之远离——没收，feit-=fact-=make；做得远离你
surfeit,过多，饮食过度,sur：1on；2more than，做多 —— 吃多
counterfeit,伪造,~ money，counter-=contra- 表示 against，做相反的东西
confiscate,充公，没收,con+fisc——财政 fiscal + ate，归为财政国库所有
forger,伪造者，铁匠,
fake,伪造,make
forge,伪造（书面和文字）；铸造，打铁；铁匠铺,如果后面接的是工具，一般是铸造的意思；forge a link/relationship with（强调在以前的基础之上进一步加强联系）
forage,搜寻，（牛马）草料,为了一个什么事情而去做，搜寻，介词接 for
forgery,伪造物,
2022-07-22 学习,,
formality,拘谨，礼节，仪式,formal - 正式的
formation,形成，构造,form 动词形式（形成）
deform,使畸形，使残疾,de-not + form 没有形状 - 变形
conform,服从遵守,~ to sth.； 大家一样的形状
nonconformist,不按传统生活的人,conform-服从遵守，non-否定，不服从的人
fossilize,使成为化石,"oss-=bone,fossil n. 化石"
ossify,骨化，使僵化，墨守成规,ossified 墨守成规的
ossuary,骨灰盒,-ary 表示一个地点
fraud,欺骗,economy fraud 商业欺诈；同义：delude & deceive
deceive,欺骗,
defraud,诈骗，欺骗,de-表加强
fraudulent,欺骗的,
mendacious,说谎的，欺骗的，不诚实的,acious-很多的，来自 mind
frivolity,轻浮，草率,
frivolous,随意的，轻率的,vol=will，fri=free，自由的意愿 —— 随意
volition,意志力，决心,vol=will
fugitive,逃亡者，亡命者,-ive后缀，词根fug=escape+it-to go refugee 难民
fugacious,易挥发的，易逃走的,acious-什么很多，fug-逃，逃得多
centrifugal,离心力,centri-中心，fug-逃，逃离中心的力量；centripegal force 向心力
subterfuge,借口，托辞,逃到地下，ter=土地，如territory领土
futile,无用的，琐碎的,谐音few，很少所以没用；形近词：fertile 肥沃的；fut/fus/fud=to pour倒（参考confuse，一起倒给你，迷惑）
refute,驳斥，反驳,造词逻辑同refuse
fuddle,灌醉，混乱,le表示动作的重复，反复倒酒就迷糊了
befuddle,喝醉，使迷惑,be-加强+fuddle
diffuse,弥漫，扩散（气体，液体），分散的；哆嗦的；冗长的；传播；散布,dif-dis-apart，倒开的感觉；把东西给diff不同的地方use使用，分工具，传播工具
suffuse,充满,suf=sub，在下面注入，sufficient
profuse,充沛大量的，极其丰富的，浪费的，挥霍的,用法：prouse rain/tears 充沛的雨水/泪流满面；pro-往前倒了很多
effuse,流出，泻出,eff-ex-向外+fus流
effusive,热情洋溢的,情感的外露
infuse,灌输，注入,in-向里
gainsay,否认,gain=against+say，说相反的话
negate,否认，否定，打消,negative的动词形式；neg-=negative
disclaim,否认,dis-否定，claim宣称
garnish,装饰（菜肴的点缀）,-ish作为动词后缀，gar-decorate（装饰），联想garlic，用大蒜装饰菜肴
garish,俗艳的（华而不实）,
gaudy,华而不实的，俗丽的,G贵audi奥迪
tawdry,廉价而俗丽的,结尾干巴巴的，gaudy and cheap
garb,制服，着装，穿着衣服,gar-decorate
garment,衣服,gar-decorate
festoon,布置，装饰,节日 festival 的张灯结彩
embellish,装饰，点缀,-ish-后缀，em-to，用铃铛bell装饰
emblazon,（用文字图案的）装饰，点缀,~with
adorn,装饰,orn-装饰
ornament,装饰物,orn-装饰
gauge,标准尺，规格，测量,联想gate，“测量大门”，gauge--gate
gage,标准尺，规格，测量,联想gate，“测量大门”，gauge--gate
gouge,敲诈，敲竹杠,
generic,属的，类属的,词根gen-表示1：race种族；2产生（gene基因）
homogeneous,同类的,homo-the same
heterogeneous,不同的，不同种类的,hetero-different
homosexual,同性恋的,
heterosexual,异性恋的,
ingenious,聪明的，天才的,genius（天才）；i-我天才
ingenuous,坦诚的，老实的，天真的,u-你天真
degenerate,退化，衰退，堕落,de-表示消极否定的含义，不能产生
engender,产生,en-表加强 = generate
genial,愉快的，热情友好的,gene+al，人生来本身是好的；gen-基因，生来是好的
congenial,意气相投的，志同道合的，友善的；和气的；性格相似的,同样基因的-相似
congenital,先天的,比congenial，多了个t，是先天的
glaze,上釉色,词根gl-(gold)=light，和光有关
pottery,瓷器,pot前缀
ceramic,瓷器,ce，映射了贝壳
porcelain,瓷器,易碎的感觉（proshell）
glimmer,发微光,a glimmer of hope 希望渺茫；m想成闷，很闷的光
gleam,发微光,a glimmer of hope 希望渺茫；m想成闷，很闷的光
gloomy,阴天的，忧郁的,oo=ea-，发微光->阴天；m想成闷，很闷的光
glitter,闪闪发光,t可以想成晶莹剔透
glint,闪闪发光,t可以想成晶莹剔透
glare,发强光，使炫目，怒目而视,are光照到眼睛上“啊！”——强光
glow,发出温暖柔和的光,low
glisten,水和油的发光（如露珠等）,listen-听，能听得到的光->水光
gloss,光泽,与glaze同源，ss丝丝光泽
glossy,有光泽的,
glide,滑翔（平面的滑行）,slide（往下滑）
glib,油嘴滑舌的,来自 glide 变体
bland,平淡无味的，情绪稳定的,白开水 bland
blunder,跌跌撞撞地走,来自 blind
blend,混合,来自 blind
blender,搅拌机,来自 blend
blunt,迟钝的，钝的,来自 blind
bleach,漂白，变白,blank
blanch,变白,blank
blight,植物的枯萎病，毁灭，死亡,b-不+light=不见了光植物枯萎
gobble,狼吞虎咽,
devour,狼吞虎咽,vor表示吃，如herbivore
